name,uid,M2014,F2014,M2015,F2015,M2016,F2016,M2017,F2017,M2018,F2018,M2019,F2019,M2020,F2020,M2021,F2021,M2022,F2022,M2023,F2023,M2024,F2024,M2025,F2025
CR Salamband�,VbXROHlJNpu,7348,8204,7575,8443,7801,8680,8031,8922,8267,9169,8507,9420,8752,9676,9001,9936,9255,10202,9514,10472,9778,10748,10047,11028
CR T�lir�,nixzdM4MYGI,8405,9868,8665,10156,8923,10441,9187,10733,9456,11029,9731,11332,10011,11640,10297,11954,10588,12273,10884,12599,11186,12930,11494,13268
CR Touba,BLLU0gRBVpY,8876,10032,9150,10324,9423,10614,9702,10910,9986,11211,10276,11519,10572,11832,10873,12150,11180,12475,11493,12806,11812,13143,12136,13485
CR Yimb�ring,SgaX2t3Bbgf,16597,18735,17111,19281,17620,19823,18141,20375,18673,20938,19215,21512,19768,22097,20332,22692,20906,23298,21491,23916,22087,24545,22694,25185
DPS Mali,zJZspSfD06r,0,-1,0,1,0,1,1,-1,-1,1,1,-1,2,-2,0,0,2,-1,3,0,1,-3,1,-1
CR Fatako,wPX7R74nNaq,4121,5703,4248,5870,4375,6035,4505,6204,4637,6376,4772,6551,4910,6730,5051,6912,5194,7097,5339,7285,5488,7478,5639,7673
CR Fello Koundoua,zzaqJtN8T1L,3896,4103,4016,4223,4135,4341,4258,4462,4382,4586,4509,4711,4639,4839,4771,4969,4906,5102,5043,5237,5183,5375,5325,5515
CR Kansangui,xDXDzMIQ9t0,3838,4945,3957,5090,4075,5233,4196,5379,4319,5528,4445,5680,4573,5834,4703,5992,4836,6152,4972,6316,5110,6482,5251,6651
CR Kolangui,iMhhlWSnwkW,3239,4116,3339,4236,3438,4355,3540,4477,3644,4600,3750,4727,3858,4855,3969,4986,4081,5120,4195,5256,4312,5394,4430,5535
CR Kollet,hEgEVWooUvP,8189,9364,8442,9638,8693,9908,8951,10184,9213,10466,9481,10753,9753,11045,10032,11343,10315,11646,10604,11955,10898,12269,11197,12589
CR Konah,XVJQmmn4Ssf,6086,7720,6274,7946,6461,8169,6653,8398,6848,8630,7047,8867,7250,9108,7457,9354,7668,9605,7883,9860,8102,10119,8325,10384
CR Kouratongo,PADw7ALQXYA,5333,6003,5498,6178,5661,6351,5829,6528,5999,6709,6174,6893,6351,7080,6533,7271,6717,7465,6905,7663,7096,7864,7291,8069
CR Koin,hCDfbzHeM7H,6029,8069,6216,8304,6401,8538,6591,8777,6785,9020,6982,9268,7184,9520,7389,9778,7598,10039,7811,10306,8028,10578,8249,10854
CR Tangali,r3AxFOJIwxU,3133,4399,3230,4528,3326,4655,3425,4786,3526,4918,3628,5053,3733,5191,3840,5332,3949,5474,4059,5620,4172,5768,4287,5919
CU Tougu�,BvvY2HTeibN,12441,14700,12825,15129,13208,15554,13598,15988,13997,16430,14404,16881,14819,17340,15242,17807,15673,18283,16111,18768,16558,19262,17013,19765
DPS Tougu�,XraGmJ5tF7e,-3,1,0,-1,3,2,-1,-1,1,0,1,-1,1,0,0,-2,1,0,3,-1,1,-1,2,0
IRS Lab�,zy5MQM2PlKb,-1,0,0,-1,2,-1,1,-1,0,-1,2,-3,2,-2,3,-4,4,-4,3,-5,5,-4,6,-5
CR Bodi�,GMf9z3QKXW4,4057,4993,4183,5138,4307,5283,4435,5430,4565,5581,4698,5734,4833,5890,4971,6049,5112,6210,5255,6375,5401,6543,5549,6714
CU Dalaba,y7059Yv8KIx,11567,12818,11924,13192,12279,13562,12642,13940,13013,14325,13390,14717,13776,15117,14168,15524,14569,15939,14976,16362,15391,16792,15814,17230
CR Ditinn,efSIalZ4sJi,5797,7394,5976,7610,6155,7825,6337,8043,6523,8266,6713,8493,6906,8724,7104,8959,7305,9199,7509,9443,7718,9692,7930,9945
CR Kaala,sbXwEBMdDeg,3118,3970,3215,4086,3311,4201,3409,4318,3509,4438,3611,4560,3715,4684,3821,4810,3930,4939,4040,5070,4152,5204,4266,5340
CR Kankalab�,EpiULL1rTS8,7084,9018,7303,9282,7521,9543,7744,9809,7971,10081,8203,10358,8439,10640,8680,10927,8926,11219,9176,11517,9431,11820,9690,12129
CR K�bali,QF3Uax7QYsW,4984,6662,5139,6857,5292,7050,5449,7247,5609,7447,5773,7652,5939,7860,6109,8073,6282,8289,6458,8509,6637,8733,6820,8962
CR Koba,Vv8vxBh65uz,7982,9050,8229,9313,8474,9575,8724,9842,8980,10114,9241,10391,9507,10673,9778,10961,10054,11254,10336,11552,10622,11856,10914,12166
CR Mafara,Qwh6PZfAoSK,3721,4536,3836,4669,3951,4800,4067,4934,4187,5071,4309,5210,4433,5351,4559,5496,4688,5643,4819,5792,4953,5945,5089,6100
CR Mitty,ZTeECCIU5QB,5747,8116,5926,8354,6103,8589,6284,8829,6469,9074,6657,9323,6849,9578,7045,9836,7245,10100,7448,10369,7655,10642,7866,10921
CR Momb�yah,gxdsSMgo0gz,6289,7922,6484,8154,6678,8383,6875,8617,7077,8856,7283,9099,7493,9346,7707,9599,7925,9855,8147,10117,8373,10384,8604,10655
DPS Dalaba,mqBP8r7CwKc,1,1,0,-1,-1,-1,1,0,0,-2,-1,-1,1,0,2,-1,-1,1,1,1,2,0,2,-2
CR Boulliwel,yNN92VehTkY,9450,11623,9743,11962,10033,12299,10330,12642,10633,12992,10943,13348,11258,13711,11579,14081,11907,14458,12240,14842,12580,15233,12926,15630
CR Dounet,rJAmWK0siVH,13848,16967,14277,17462,14703,17953,15138,18454,15582,18965,16035,19485,16497,20015,16968,20555,17448,21105,17937,21665,18435,22236,18942,22816
CR Gongore (Mamou),pqrbAXAYovB,3904,4906,4025,5049,4145,5191,4267,5336,4393,5484,4520,5634,4651,5788,4783,5944,4919,6103,5057,6265,5197,6430,5340,6598
CR K�gn�ko,ARasA2gJ8P2,8867,10443,9141,10748,9414,11050,9692,11358,9976,11672,10266,11992,10562,12318,10863,12651,11170,12989,11483,13333,11802,13684,12126,14041
CR Kounkour�,adWBnbsZpb0,6133,7026,6323,7231,6511,7434,6704,7641,6900,7853,7100,8068,7305,8287,7513,8510,7726,8738,7942,8970,8162,9206,8386,9446
CU Mamou,OegwuVObJYl,40076,43596,41314,44866,42544,46126,43801,47410,45084,48720,46393,50054,47727,51414,49088,52798,50474,54209,51886,55645,53323,57107,54787,58596
CR Nyagara,D7WL2Sm2pGt,5477,6955,5647,7159,5815,7360,5987,7566,6163,7775,6342,7988,6525,8206,6712,8427,6901,8653,7095,8883,7292,9117,7492,9355
CR Our� Kaba,j0jnZYns7dd,15127,16891,15595,17384,16059,17872,16534,18370,17018,18877,17513,19395,18016,19921,18530,20458,19054,21005,19587,21561,20130,22128,20682,22706
CR Por�daka,k08FyiNNVVx,9769,12588,10072,12956,10372,13320,10680,13692,10993,14071,11313,14458,11639,14851,11972,15252,12311,15661,12656,16076,13007,16500,13365,16931
CR Saramoussaya,ly1ZpfJEiGz,11186,12244,11532,12601,11875,12954,12226,13315,12584,13683,12950,14058,13322,14440,13702,14828,14089,15225,14483,15628,14884,16039,15293,16457
CR Soyah,FwBfx7dzqOY,11074,11918,11416,12265,11756,12609,12103,12960,12458,13318,12819,13683,13188,14055,13564,14433,13947,14818,14337,15211,14734,15611,15139,16018
CR T�gu�r�yah,Sd9S8pkDdpR,4266,5118,4398,5267,4529,5415,4663,5566,4800,5720,4939,5877,5082,6037,5227,6200,5374,6366,5525,6534,5678,6706,5834,6881
CR Timbo,TNdK2RkdmKZ,6144,7343,6334,7557,6523,7770,6716,7986,6913,8207,7114,8432,7319,8662,7528,8895,7741,9133,7957,9376,8178,9622,8403,9874
CR Tolo,Rz3ep1o5p8S,4044,4754,4169,4893,4293,5031,4420,5171,4550,5314,4682,5460,4817,5608,4954,5759,5094,5913,5237,6070,5382,6230,5530,6392
DPS Mamou,LyGsnnzEabg,0,0,-1,0,1,-1,1,1,2,0,2,0,1,-1,2,1,1,-2,0,-1,2,-3,2,-1
CR Bantignel,kOfwRTpiT8A,5865,8297,6046,8539,6227,8780,6412,9026,6600,9276,6793,9531,6989,9791,7189,10055,7392,10325,7600,10600,7811,10879,8026,11164
CR Brouwal Tap�,QW92wlaWKpg,4098,5731,4226,5899,4352,6065,4481,6235,4613,6408,4747,6584,4884,6763,5024,6946,5166,7132,5311,7322,5458,7515,5609,7711
CR Donghol Touma,XlWmVuPN2b0,9874,13912,10180,14319,10485,14722,10795,15134,11113,15554,11437,15981,11767,16417,12103,16861,12446,17313,12796,17773,13151,18242,13514,18719
CR Gongore (Pita),cluuaGUZocq,7071,9866,7290,10155,7508,10441,7730,10733,7957,11030,8189,11333,8426,11642,8667,11957,8912,12277,9162,12604,9417,12936,9676,13275
CR Ley Miro,qHOxXnT4YSv,8319,11235,8577,11563,8833,11889,9095,12221,9362,12559,9635,12905,9912,13256,10196,13614,10485,13979,10779,14350,11078,14729,11383,15114
CR Maci,Sqi01br2DoD,9428,12751,9720,13124,10011,13494,10307,13871,10610,14255,10919,14647,11234,15046,11555,15452,11883,15866,12216,16288,12555,16717,12901,17155
CR Ningu�land�,MWG05k5GSvW,12108,13998,12483,14406,12855,14811,13235,15224,13623,15645,14019,16073,14423,16510,14834,16955,15253,17409,15680,17870,16115,18340,16558,18819
CU Pita,NUYWphZJyeW,13066,14838,13470,15271,13872,15700,14282,16138,14700,16584,15127,17038,15563,17501,16007,17973,16459,18453,16919,18942,17388,19440,17866,19948
CR Sangar�ah,YtZJEilElOF,17093,20414,17622,21010,18147,21601,18684,22203,19232,22817,19791,23443,20361,24081,20942,24730,21534,25391,22137,26065,22752,26751,23377,27449
CR Sintali,Tsw8pVi7QPA,4257,4902,4389,5045,4519,5186,4653,5331,4789,5478,4928,5629,5070,5782,5215,5937,5362,6096,5512,6258,5665,6422,5821,6590
CR Timbi Madina,JxSj6kP5Aum,25133,27333,25910,28130,26681,28919,27470,29725,28274,30546,29095,31383,29932,32235,30785,33103,31655,33987,32540,34888,33442,35805,34360,36738
CR Timbi Touni,kefslViPuCX,8279,12631,8536,13001,8791,13368,9052,13742,9318,14124,9590,14512,9867,14909,10150,15312,10438,15723,10731,16141,11029,16568,11334,17001
DPS Pita,ASu054HjT5Y,0,1,0,0,-1,-1,1,-3,3,-2,2,-2,2,-3,2,-1,3,-2,4,-4,6,-4,4,-5
IRS Mamou,ZSEW310Xy6l,-1,-1,0,0,0,0,0,0,0,0,1,-1,1,-1,1,0,2,-2,2,-2,0,-2,1,-1
CU Beyla,fNe8o3u1wY2,15979,16504,16472,16984,16962,17460,17463,17946,17974,18442,18496,18947,19027,19461,19569,19984,20121,20518,20684,21061,21257,21614,21840,22177
CR Boola,aueSTK2qBlL,10967,11783,11306,12126,11642,12466,11986,12813,12337,13167,12696,13528,13061,13895,13433,14269,13812,14650,14198,15038,14592,15433,14992,15836
CR Diaragu�r�la,MzuFkfrv7WB,5689,5756,5865,5923,6039,6089,6217,6259,6399,6431,6585,6607,6774,6786,6967,6969,7163,7155,7363,7344,7567,7537,7775,7734
CR Diassodou,sIlb4xIYPeD,8474,8603,8736,8854,8996,9102,9261,9355,9532,9614,9809,9877,10091,10145,10378,10418,10671,10696,10969,10979,11273,11267,11582,11560
CR Fouala,ncDJp1ZDION,8192,8580,8445,8830,8696,9078,8953,9331,9215,9588,9482,9851,9755,10118,10033,10390,10316,10668,10604,10950,10898,11238,11197,11531
CR Gbak�dou,Tw04H6pdce3,10979,11702,11318,12043,11655,12381,12000,12725,12351,13077,12709,13435,13075,13800,13447,14171,13827,14549,14214,14935,14607,15327,15008,15727
CR Gbessoba,ufPDk1wCw3a,17495,18203,18035,18733,18571,19259,19120,19795,19680,20341,20251,20898,20833,21465,21426,22043,22031,22631,22647,23230,23274,23841,23912,24462
CR Karala,g6ui2ZwrYgf,5359,5556,5524,5717,5689,5878,5857,6041,6028,6208,6203,6378,6381,6551,6563,6728,6748,6907,6937,7090,7129,7276,7325,7466
CR Koumandou,waliuGl6alb,6650,6581,6855,6773,7059,6962,7267,7156,7480,7353,7696,7555,7917,7759,8143,7968,8373,8181,8606,8397,8845,8617,9087,8842
CR Moussadou,zIhfEpz4hUU,7581,8201,7815,8440,8048,8677,8286,8918,8529,9165,8776,9416,9029,9671,9286,9932,9548,10197,9815,10467,10087,10742,10364,11022
CR Nionsomoridou,g5pkKTCMwb9,7625,8146,7860,8384,8094,8619,8333,8859,8577,9104,8826,9353,9080,9607,9339,9865,9602,10129,9871,10397,10144,10670,10423,10949
CR Samana,BDCeWKf6CCU,12121,12354,12495,12713,12866,13070,13246,13434,13634,13804,14029,14182,14433,14567,14844,14959,15262,15358,15689,15764,16123,16178,16565,16600
CR Sinko,hCzBdc1XS6s,39638,41204,40862,42404,42077,43593,43320,44807,44588,46044,45882,47304,47201,48588,48545,49895,49915,51227,51310,52583,52731,53964,54178,55371
CR Sokourala,DsD5lyuYLbs,4570,4599,4711,4733,4851,4866,4994,5001,5140,5139,5289,5279,5441,5423,5596,5569,5754,5717,5915,5868,6078,6022,6245,6179
DPS Beyla,q1zvw5TOnZF,-2,-1,0,0,2,-1,0,0,1,-1,0,-2,-1,-1,0,0,2,-1,1,2,0,2,1,-1
CR Bolodou,KOwizKqmwkn,6262,7506,6456,7726,6648,7943,6845,8164,7046,8390,7251,8620,7460,8855,7672,9094,7889,9337,8110,9584,8335,9837,8564,10094
CR Fangamadou,vcp48yK3YCf,11819,12906,12184,13282,12547,13655,12918,14035,13296,14423,13682,14818,14076,15220,14477,15630,14886,16048,15302,16473,15726,16906,16158,17347
CU Gueck�dou,IPpzTTeRD64,33165,34114,34189,35108,35206,36092,36245,37097,37306,38121,38388,39164,39491,40226,40616,41309,41762,42411,42929,43534,44118,44677,45328,45842
CR Guendembou,utx8NLZNGmL,14840,16854,15299,17345,15755,17832,16221,18329,16696,18836,17181,19352,17676,19878,18180,20414,18694,20959,19217,21515,19749,22081,20292,22657
CR Kassadou,SSSB8racp2E,9086,10973,9367,11293,9646,11611,9932,11935,10223,12265,10520,12601,10823,12944,11132,13293,11447,13649,11768,14011,12094,14380,12427,14755
CR Koundou,xfRgvUShmza,13527,15011,13946,15449,14361,15882,14785,16325,15219,16776,15660,17236,16111,17704,16570,18181,17038,18666,17515,19161,18001,19665,18495,20178
CR Nongoa,uhLweecdoYv,7075,8022,7293,8256,7511,8488,7733,8725,7959,8966,8190,9211,8426,9462,8667,9717,8911,9976,9161,10241,9415,10510,9673,10784
CR Ouend� K�n�ma,Jdo8cAmDm7I,14583,16394,15034,16872,15482,17345,15939,17829,16407,18321,16883,18824,17369,19335,17864,19856,18369,20387,18883,20927,19406,21477,19939,22037
CR T�koulo,QGuoWQ14XvU,15060,15943,15526,16408,15988,16868,16460,17338,16942,17817,17433,18304,17935,18801,18446,19307,18966,19823,19497,20348,20037,20883,20587,21427
CR Temessadou,cDXajedFZeD,14129,15824,14566,16286,15000,16743,15443,17210,15895,17685,16357,18170,16828,18663,17308,19166,17797,19678,18295,20200,18802,20731,19318,21272
DPS Gu�ck�dou,khK0Ewyw0vV,0,1,0,-1,-1,1,0,-1,1,-1,2,0,0,1,1,-1,2,0,0,-1,1,-2,2,-1
CR Bossou,d6ALfwfJdND,4827,5147,4976,5297,5124,5446,5276,5597,5430,5752,5588,5909,5748,6070,5912,6233,6079,6400,6249,6569,6422,6742,6598,6917
CR Foumbadou,w5ohzA5ZBvD,9044,10213,9323,10511,9601,10806,9885,11107,10174,11414,10470,11727,10771,12046,11078,12370,11391,12701,11710,13038,12035,13380,12365,13730
CR Gama B�r�ma,iWByCKUV5CP,8008,8593,8256,8844,8501,9092,8752,9345,9009,9603,9270,9866,9537,10134,9809,10407,10085,10685,10367,10968,10655,11256,10947,11550
CR Gu�asso,DVNYGw3VPQI,10024,11013,10334,11335,10642,11653,10956,11977,11277,12308,11605,12645,11939,12989,12279,13339,12626,13695,12979,14058,13339,14427,13705,14804
CR Kokota,wbbl4srrzhS,6908,7836,7122,8065,7334,8292,7551,8523,7772,8758,7998,8998,8228,9243,8463,9492,8702,9745,8945,10004,9193,10267,9446,10535
CR Laine,lAWsDOU429B,7696,8763,7934,9019,8171,9272,8412,9530,8659,9794,8910,10062,9167,10336,9428,10614,9695,10898,9966,11187,10242,11481,10524,11780
CU Lola,f0hhYi8k26l,23058,25379,23771,26118,24479,26851,25202,27600,25941,28362,26694,29139,27462,29930,28245,30737,29042,31558,29855,32394,30682,33246,31525,34113
CR Nzoo,kQskhQ7Ew40,7311,7885,7537,8115,7761,8342,7990,8575,8224,8812,8463,9053,8706,9299,8955,9549,9207,9804,9465,10064,9727,10328,9994,10598
CR Tounkarata,rzeaIMCDKxF,5529,5905,5700,6077,5870,6247,6043,6421,6220,6599,6401,6779,6585,6963,6773,7151,6964,7342,7158,7536,7357,7734,7559,7936
DPS Lola,QL7gnB6sSLA,1,1,0,-1,-1,0,1,1,1,0,-1,2,0,-1,-1,0,1,-1,1,-1,0,0,0,-1
CR Balizia,KP23K4wydn2,7166,7661,7388,7884,7608,8105,7832,8331,8062,8561,8296,8796,8534,9034,8778,9278,9025,9525,9278,9778,9535,10035,9796,10296
CR Binikala,z4vFR5ZIjxC,8653,9197,8920,9465,9186,9730,9457,10001,9734,10278,10016,10559,10305,10846,10598,11138,10897,11435,11202,11738,11512,12046,11828,12360
CR Bofossou,LwBGbo2SMRN,6661,7269,6867,7481,7071,7691,7280,7905,7493,8124,7711,8346,7933,8573,8159,8804,8389,9039,8624,9279,8863,9522,9106,9771
CR Daro,jJYehRPh3YY,7033,7646,7251,7869,7466,8089,7687,8315,7912,8544,8142,8778,8376,9017,8615,9260,8858,9507,9106,9759,9358,10015,9615,10277
CR Fassankoni,yYfgW0UDo3w,6474,7546,6674,7766,6873,7984,7077,8207,7284,8434,7496,8665,7711,8901,7932,9140,8156,9385,8384,9634,8616,9887,8853,10145
CR Kouankan,BUaoupjNVjA,14634,15870,15086,16332,15535,16791,15994,17258,16462,17735,16940,18221,17427,18716,17924,19220,18430,19733,18946,20256,19471,20788,20005,21330
CR Koyamah,h0mjCDTXYIX,11730,13512,12093,13906,12453,14297,12821,14696,13197,15102,13581,15516,13972,15938,14370,16367,14776,16805,15190,17250,15611,17704,16040,18166
CU Macenta,GyV2qUdoHN7,32307,34045,33305,35036,34296,36019,35309,37022,36343,38044,37397,39086,38472,40147,39568,41227,40685,42328,41823,43449,42981,44590,44161,45753
CR Nz�b�la,Qg1KX6HsAs0,7914,8504,8159,8751,8402,8997,8650,9248,8903,9503,9162,9763,9425,10028,9694,10298,9967,10573,10246,10853,10530,11139,10819,11429
CR Our�mai,k7PouuciMga,4300,4785,4433,4924,4565,5062,4700,5203,4838,5347,4978,5494,5122,5643,5268,5795,5416,5950,5568,6108,5722,6268,5879,6432
CR Panziazou,fNwra4mWCOP,3969,4549,4092,4681,4214,4813,4338,4947,4466,5084,4595,5223,4728,5365,4863,5509,5000,5657,5140,5807,5282,5959,5428,6115
CR Sengb�dou,aOs6QXbWJgN,6570,7321,6773,7534,6975,7746,7181,7962,7391,8182,7606,8406,7825,8634,8048,8867,8275,9104,8507,9345,8743,9591,8983,9841
CR S�r�dou,VZwjy4TNp0u,9740,10696,10041,11007,10340,11316,10645,11632,10957,11953,11275,12280,11600,12614,11931,12954,12267,13300,12611,13652,12960,14011,13316,14376
CR Vass�r�dou,NAvovCIIC7o,4135,4530,4263,4662,4389,4793,4519,4927,4652,5063,4787,5202,4924,5343,5065,5487,5208,5633,5353,5783,5502,5935,5653,6089
CR Watanka,z9Ft8tP6zmX,2965,3614,3057,3719,3148,3824,3241,3931,3336,4040,3433,4150,3532,4263,3633,4378,3736,4495,3840,4615,3947,4736,4055,4860
DPS Macenta,TEjr8hbfz9a,0,-2,-2,3,0,2,1,-1,1,-2,0,-1,0,-2,-2,-1,3,-1,-1,-3,0,0,1,-1
CR Bounouma,AiuhuttHtq1,10770,11420,11103,11753,11433,12083,11771,12419,12116,12762,12467,13111,12826,13467,13191,13830,13564,14199,13943,14575,14329,14958,14722,15348
CR Goueck�,QdiFSWFNGV5,9337,10000,9626,10292,9912,10580,10205,10875,10504,11175,10809,11481,11120,11793,11436,12111,11759,12434,12088,12763,12423,13099,12764,13440
CR Kob�la,gDccnfEYzu5,7186,8152,7408,8390,7628,8626,7854,8866,8084,9111,8319,9361,8558,9615,8803,9874,9051,10138,9304,10407,9562,10681,9825,10959
CR Koropara,vKgP5VF6M1y,9208,10002,9493,10294,9775,10583,10064,10877,10359,11178,10659,11484,10966,11796,11279,12114,11597,12437,11921,12767,12252,13102,12588,13444
CR Koul�,prCDkUlb2Fc,9179,9917,9462,10206,9744,10493,10032,10785,10326,11083,10625,11387,10931,11696,11243,12011,11560,12331,11883,12658,12213,12991,12548,13330
CU Nz�r�kor�,kYpZjUcbvYe,98182,98641,101213,101512,104222,104358,107298,107261,110438,110221,113640,113236,116905,116307,120234,119436,123626,122623,127079,125868,130597,129172,134179,132537
CR Pal�,jgrOk9sSAIg,4839,5379,4989,5536,5137,5691,5289,5850,5444,6012,5602,6176,5763,6344,5928,6515,6095,6689,6266,6866,6439,7047,6616,7231
CR Samo�,VVGXSrGoXfR,18257,19519,18821,20088,19381,20651,19953,21227,20538,21813,21134,22410,21741,23018,22361,23638,22992,24269,23635,24912,24290,25567,24957,26233
CR Soulouta,fBfyos2JYbz,10442,11440,10765,11774,11086,12104,11413,12442,11747,12785,12089,13135,12436,13492,12791,13856,13152,14226,13520,14603,13895,14986,14276,15377
CR Womey,BuURAwhE9cF,6027,6917,6213,7119,6399,7319,6588,7523,6781,7731,6978,7943,7179,8159,7383,8379,7592,8602,7805,8831,8021,9063,8241,9299
CR Yalenzou,PCIRiqlC6S7,11975,13262,12345,13649,12713,14032,13089,14423,13472,14821,13863,15227,14262,15641,14669,16062,15083,16491,15505,16928,15935,17373,16373,17827
DPS N'z�r�kor�,yvJVq1GjI2A,0,2,0,-1,1,0,1,0,0,0,2,1,2,1,1,-2,2,1,2,-1,1,-1,2,-1
CR Bani�,q29CR2AGyNh,5671,6256,5846,6438,6020,6619,6198,6804,6380,6992,6565,7183,6754,7378,6946,7577,7142,7779,7342,7986,7546,8195,7753,8409
CR Bheeta,zFLbYq1TQa1,5063,5583,5220,5746,5375,5907,5534,6072,5696,6239,5861,6410,6030,6584,6202,6762,6377,6942,6556,7126,6737,7314,6922,7504
CR Bignamou,udBxpBocurD,7121,7875,7341,8104,7560,8332,7783,8564,8011,8801,8244,9042,8481,9287,8723,9538,8969,9792,9220,10052,9476,10316,9736,10585
CU Bow�,oXJ6nJ5TdUh,6817,7608,7028,7830,7237,8050,7451,8274,7670,8503,7892,8736,8119,8973,8351,9215,8587,9461,8827,9712,9072,9967,9321,10227
CR Dieck�,YlnBsUMK63d,15965,16127,16458,16597,16947,17062,17447,17537,17958,18021,18478,18514,19009,19016,19551,19527,20102,20048,20664,20579,21236,21119,21818,21669
CR P�la,QZmHJzSQpkM,7599,8422,7834,8667,8068,8911,8306,9159,8549,9412,8798,9670,9051,9933,9309,10200,9572,10473,9839,10750,10112,11033,10390,11321
CU Yomou,WmEJoqv31Yb,7463,7776,7694,8002,7922,8227,8156,8456,8395,8689,8639,8927,8887,9169,9140,9416,9398,9668,9661,9924,9928,10184,10201,10450
DPS Yomou,PCa6e3khx5E,0,0,-1,1,0,0,1,-1,0,-1,0,0,1,1,0,0,1,1,0,-1,0,1,0,1
IRS N'Z�r�kor�,ysKioL4gVnV,0,0,1,-1,-1,-1,0,-1,-1,0,1,-2,0,-1,2,-1,0,0,1,-1,0,-1,0,-2
Guin�e,Ky2CzFdfBuO,1,0,5,-5,11,-10,16,-15,19,-19,25,-26,32,-31,36,-36,41,-42,50,-50,56,-56,62,-61
